date,source,region,category,layer,title,contents,url
2026-01-02,TechCrunch,North America,Partnership,Chips & Infrastructure,Nvidia’s AI empire: A look at its top startup investments,"Nvidia invested in 67 VC deals in 2025 (versus 54 in 2024), including a $100 million check into OpenAI's $6.6 billion Series C round at $157 billion valuation, as the $4.6 trillion GPU chipmaker expands its AI ecosystem influence beyond hardware. The company's corporate VC arm NVentures completed 30 deals in 2025, far exceeding prior years.",https://techcrunch.com/2026/01/02/nvidias-ai-empire-a-look-at-its-top-startup-investments/
2026-01-02,Analytics India Mag,North America,Product Launch,Foundation Models,OpenAI Building New Voice Model Ahead of AI Device Launch: Report,"OpenAI is developing a new audio model architecture launching in Q1 2026 designed for conversational AI devices, featuring improved accuracy, natural emotion, and real-time interruption handling. The effort follows OpenAI's $6.5 billion acquisition of Jony Ive's hardware firm io in May 2025 and positions standalone audio-first devices as the company's next major consumer product.",https://analyticsindiamag.com/ai-news-updates/openai-building-new-voice-model-ahead-of-ai-device-launch-report/
2026-01-02,Wamda,Middle East,Funding,B2B Applications,Ballurh secures investment from Falak Angels,Saudi B2B SaaS startup Ballurh raised strategic investment from Falak Angels Network to expand its AI-powered restaurant optimization platform that helps cloud kitchens and restaurants improve pricing and operations. The platform serves over 400 restaurants and manages orders worth more than SAR 1 billion in gross merchandise value.,http://wamda.com/2025/12/ballurh-secures-investment-falak-angels
2026-01-02,VentureBeat,North America,Product Launch,Foundation Models,Musk's xAI launches Grok Business and Enterprise with compelling vault amid ongoing deepfake controversy,"xAI launched Grok Business ($30/seat/month) and Grok Enterprise tiers with advanced models (Grok 3, 4, 4 Heavy) and an ""Enterprise Vault"" isolation layer for SOC 2/GDPR-compliant data protection and customer-managed encryption. The enterprise launch competes with OpenAI and Anthropic offerings but faces regulatory scrutiny over deepfake concerns on xAI's consumer platform.",https://venturebeat.com/technology/musks-xai-launches-grok-business-and-enterprise-with-compelling-vault-amid
2026-01-01,Caixinglobal,East Asia,IPO,Foundation Models,MiniMax Kicks Off $540 Million Hong Kong IPO Amid AI Gold Rush,"Chinese AI startup MiniMax launched a $540 million Hong Kong IPO, seeking to raise HK$4.2 billion for its language model and AI services platform. The listing tests investor appetite for capital-intensive AI firms amid growing market competition.",https://www.caixinglobal.com/2026-01-01/minimax-kicks-off-540-million-hong-kong-ipo-amid-ai-gold-rush-102399390.html?originReferrer=Feedly
2026-01-01,Caixinglobal,East Asia,IPO,Chips & Infrastructure,Memory Chipmaker ChangXin Seeks $4.2 Billion in IPO Amid AI Boom,"ChangXin Memory Technologies, China's leading memory chipmaker, is raising 29.5 billion yuan ($4.2 billion) in a Shanghai IPO to compete against Samsung, SK Hynix, and Micron. The funding will expand capacity for DRAM and NAND chips needed for AI systems.",https://www.caixinglobal.com/2026-01-01/memory-chipmaker-changxin-seeks-42-billion-in-ipo-amid-ai-boom-102399386.html?originReferrer=Feedly
2026-01-01,Caixinglobal,East Asia,Funding,Foundation Models,Moonshot AI Rules Out Quick IPO After Raising $500 Million,"Moonshot AI raised $500 million in funding but ruled out an imminent IPO, prioritizing financial stability over rushing to public markets amid competition from rivals launching Hong Kong listings. The Chinese LLM company maintains focus on product development and profitability.",https://www.caixinglobal.com/2026-01-01/moonshot-ai-rules-out-quick-ipo-after-raising-500-million-102399382.html?originReferrer=Feedly
2026-01-01,Financial Times,North America,IPO,Foundation Models,"SpaceX, OpenAI and Anthropic prepare to launch landmark IPOs","SpaceX, OpenAI, and Anthropic are preparing landmark initial public offerings, signaling major shifts in the private AI and space technology sectors toward public capital markets.",https://www.ft.com/content/bf607829-dca5-497d-b1a1-ca945d32a8c6
2026-01-01,TechCrunch,North America,Product Launch,Foundation Models,OpenAI bets big on audio as Silicon Valley declares war on screens,"OpenAI unified engineering teams to develop an advanced audio model launching in early 2026 that handles interruptions, speaks naturally mid-conversation, and will power an audio-first personal device launching in about a year. The move reflects broader industry shift toward voice interfaces, with Meta, Google, Tesla, and startups like Sandbar also betting on screenless AI companions.",https://techcrunch.com/2026/01/01/openai-bets-big-on-audio-as-silicon-valley-declares-war-on-screens/
2025-12-31,Caixinglobal,East Asia,Earnings,B2B Applications,"Enterprise AI Budgets to Swell Tenfold, Alibaba Cloud Exec Says","Alibaba Cloud Intelligence Group expects enterprise AI adoption to surge in early 2026, with corporate AI budgets projected to reach 10 times current IT spending within years. The forecast signals massive growth in cloud infrastructure and AI services demand.",https://www.caixinglobal.com/2025-12-31/enterprise-ai-budgets-to-swell-tenfold-alibaba-cloud-exec-says-102399370.html?originReferrer=Feedly
2025-12-31,Caixinglobal,East Asia,IPO,Consumer Applications,"Smart-Home Startup OneRobotics Lands $206 Million in HK IPO, Bets Big on AI Bots","OneRobotics, a smart-home AI device maker, raised HK$1.64 billion ($206 million) in a Hong Kong IPO, with the stock debuting flat. The company is betting on AI-powered home robots to capture growth in the connected home market.",https://www.caixinglobal.com/2025-12-31/smart-home-startup-onerobotics-lands-206-million-in-hk-ipo-bets-big-on-ai-bots-102398920.html?originReferrer=Feedly
2025-12-30,Caixinglobal,East Asia,IPO,Chips & Infrastructure,Chinese GPU-Maker Iluvatar CoreX Seeks $475 Million in Hong Kong Listing,"Shanghai Iluvatar CoreX, a Chinese GPU chipmaker, launched a $475 million Hong Kong IPO amid U.S. sanctions pressures. The AI hardware company is raising capital to expand GPU production for training and inference workloads.",https://www.caixinglobal.com/2025-12-30/chinese-gpu-maker-iluvatar-corex-seeks-475-million-in-hong-kong-listing-102398766.html?originReferrer=Feedly
2025-12-30,Caixinglobal,East Asia,IPO,Foundation Models,Zhipu AI Seeks Up to $640 Million in Hong Kong IPO,"Chinese AI startup Zhipu AI launched its Hong Kong IPO seeking up to $640 million, valuing the large language model developer at HK$51.8 billion ($6.7 billion). The listing marks a significant test for China's capital-intensive AI sector.",https://www.caixinglobal.com/2025-12-30/zhipu-ai-seeks-up-to-640-million-in-hong-kong-ipo-102398696.html?originReferrer=Feedly
2025-12-30,Caixinglobal,Southeast Asia,Acquisition,B2B Applications,Meta Acquires Chinese-Founded AI Agent Startup Manus,"Meta acquired Manus, a Singapore-based AI agent startup founded by Chinese entrepreneurs that experienced rapid growth. The acquisition terms were not disclosed.",https://www.caixinglobal.com/2025-12-30/meta-acquires-chinese-founded-ai-agent-startup-manus-102398592.html?originReferrer=Feedly
2025-12-30,TechCrunch,North America,Acquisition,B2B Applications,"Meta just bought Manus, an AI startup everyone has been talking about","Meta acquired Singapore-based AI agent startup Manus for $2 billion, which generates over $100 million in annual recurring revenue just eight months after launch by automating complex tasks like job screening and portfolio analysis. The acquisition gives Meta a proven AI product generating real revenue to integrate into Facebook, Instagram, and WhatsApp.",https://techcrunch.com/2025/12/29/meta-just-bought-manus-an-ai-startup-everyone-has-been-talking-about/
2025-12-30,Analytics India Mag,East Asia,Acquisition,Chips & Infrastructure,Softbank Buys DigitalBridge for $4 Bn to tap Data Centre Infrastructure,"SoftBank Group agreed to acquire DigitalBridge, a digital infrastructure investment firm, for $4 billion to build AI data center capacity and expand its ASI (Artificial Super Intelligence) platform vision. The deal values DigitalBridge at $16 per share and closes in H2 2026, positioning SoftBank to capitalize on surging data infrastructure demand from AI.",https://analyticsindiamag.com/ai-news-updates/softbank-buys-digitalbridge-for-4-bn-to-tap-data-centre-infrastructure/
2025-12-30,Analytics India Mag,North America,Acquisition,B2B Applications,Manus Skips Funding at $2 Bn Valuation to Join Meta: Report,"Meta acquired Singapore-based AI agent platform Manus, which generated $100 million annual recurring revenue just eight months after launch, in a deal completed in under ten days while the startup was raising at $2 billion valuation. Manus automates complex workflows including web navigation, data analysis, and integrations with Google Workspace and Notion tools.",https://analyticsindiamag.com/ai-news-updates/manus-skips-2-billion-funding-to-join-meta-report/
2025-12-30,IT News Africa,Global,Product Launch,Foundation Models,"OpenAI Unveils Curated Prompt Packs for Sales, IT, HR, Government and More","OpenAI launched Prompt Packs through its Academy platform—curated, role-specific prompt libraries for sales, engineering, HR, government, and education professionals to standardize ChatGPT usage without trial-and-error. The packs contain dozens of ready-to-use workflow templates and are freely available for immediate deployment.",https://www.itnewsafrica.com/2025/12/openai-unveils-curated-prompt-packs-for-sales-it-hr-government-and-more/
2025-12-29,Caixinglobal,East Asia,Other,Foundation Models,Cover Story: China’s AI Titans Escalate Battle for Control of Digital Gateways,"China's AI market intensified competition in 2025 as internet giants and startups battle for control of users, hardware, talent, and capital, with the competition evolving beyond model training to broader ecosystem dominance.",https://www.caixinglobal.com/2025-12-29/cover-story-chinas-ai-titans-escalate-battle-for-control-of-digital-gateways-102398121.html?originReferrer=Feedly
2025-12-29,Tech,Southeast Asia,Funding,Consumer Applications,Webrazzi GSYF invested $1M in GameByte,"GameByte, an AI-powered platform enabling mobile game studios to create playable games from text prompts in minutes, raised $1 million at a $10 million valuation from Webrazzi GSYF. The startup eliminates manual coding to accelerate game prototyping and testing.",https://tech.eu/2025/12/29/webrazzi-gsyf-invested-1m-in-gamebyte/
2025-12-26,Caixinglobal,East Asia,Funding,Foundation Models,Interview: Gaming Tycoon Chen Tianqiao on His $1 Billion Bet to Build ‘Living’ AI,"Chen Tianqiao, former China's richest man, is investing $1 billion to develop advanced AI systems that simulate human-like intelligence and behavior.",https://www.caixinglobal.com/2025-12-26/qa-gaming-tycoon-chen-tianqiao-on-his-1-billion-bet-to-build-living-ai-102397253.html?originReferrer=Feedly
2025-12-26,Analytics India Mag,North America,Acquisition,Fine-tuning & MLOps,Coforge to Acquire Encora in $2.35 Bn All-Stock Mega Deal to Strengthen AI Engineering,"Coforge acquired AI software engineering firm Encora in a $2.35 billion all-stock deal, creating a $2.5 billion technology services company with AI-led engineering, data, and cloud capabilities. The acquisition, which includes Encora's AIVA agentic AI platform and 3,100+ Latin American engineers, projects AI-led product engineering to become a $1.25 billion business by fiscal 2027.",https://analyticsindiamag.com/ai-news-updates/coforge-to-acquire-encora-in-2-35-bn-all-stock-mega-deal-to-strengthen-ai-engineering/
2025-12-26,Wamda,Middle East,Funding,Foundation Models,Newera.ai raises $2.1 million pre-seed to scale generative AI in Saudi Arabia,Saudi Arabia-based Newera.ai raised $2.1 million in pre-seed funding led by Embark to scale generative AI solutions for enterprise customers in the region. The startup focuses on transforming complex business challenges into production-ready AI solutions with data localization in Saudi Arabia.,http://wamda.com/2025/12/newera-ai-raises-2-1-million-pre-seed-scale-generative-ai-saudi-arabia
2025-12-25,Caixinglobal,East Asia,Acquisition,B2B Applications,Robot-Maker UBTech Tries for A-Share Foothold With Takeover of Auto Parts Firm,Hong Kong-listed robot maker UBTech agreed to acquire controlling stake in Zhejiang Fenglong Electric for 1.665 billion yuan ($237 million) to secure a mainland China listing platform for its humanoid robot business.,https://www.caixinglobal.com/2025-12-25/robot-maker-ubtech-tries-for-a-share-foothold-with-takeover-of-auto-parts-firm-102397205.html?originReferrer=Feedly
2025-12-25,Caixinglobal,East Asia,IPO,B2B Applications,Deep Robotics Starts IPO Tutoring for Mainland Listing,"Hangzhou Deep Robotics, a Chinese maker of quadrupedal and humanoid robots, began IPO preparation for a mainland listing as hardware startups rush to access China's buoyant capital markets.",https://www.caixinglobal.com/2025-12-25/deep-robotics-starts-ipo-tutoring-for-mainland-listing-102396926.html?originReferrer=Feedly
2025-12-25,Techfundingnews,Europe,Funding,B2B Applications,£2B+ raised: Ranking the biggest UK AI deals in 2025,"UK AI startups raised £1.8 billion in the first half of 2025, with Nscale leading the charge by securing $1.1 billion in a record European Series B to build sovereign AI data centers powered by renewable energy. Other major deals include Isomorphic Labs raising $600 million for AI-driven drug discovery and Nothing securing $200 million for consumer electronics development.",https://techfundingnews.com/2b-raised-ranking-the-biggest-uk-ai-deals-in-2025/
2025-12-25,Analytics India Mag,North America,Partnership,Chips & Infrastructure,Groq to Now Help NVIDIA Build Inference Tech,"Groq, a US chipmaker specializing in AI inference hardware, signed a non-exclusive licensing agreement with NVIDIA, with founder Jonathan Ross and other executives joining NVIDIA to advance the licensed LPU (Language Processing Unit) technology. Groq remains independent with new CEO Simon Edwards, following earlier reports of a failed $20 billion acquisition bid.",https://analyticsindiamag.com/ai-news-updates/groq-to-now-help-nvidia-build-inference-tech/
2025-12-24,Analytics India Mag,South Asia,Product Launch,B2B Applications,"Coforge Launches EvolveOps.AI, an Agentic AI-Powered IT Operations Platform","Coforge launched EvolveOps.AI, an agentic AI platform for autonomous IT operations management across hybrid cloud environments, featuring 28 AI personas and fine-tuned language models. Enterprises using the platform recorded 25% reduction in downtime, 40% reduction in IT costs, and 60% faster incident resolution.",https://analyticsindiamag.com/ai-news-updates/coforge-launches-evolveops-ai-an-agentic-ai-powered-it-operations-platform/
2025-12-24,IT News Africa,Global,Acquisition,B2B Applications,IHC Invests in Peko Holdings to Accelerate AI-Powered Automation for SMEs,"Global investment firm IHC acquired 70% of Peko Holdings, an all-in-one digital platform automating financial and administrative processes like payroll, invoicing, and expense management for SMEs and mid-market companies. Peko is integrating AI-powered assistants to automate routine tasks like forecasting and expense management.",https://www.itnewsafrica.com/2025/12/ihc-invests-in-peko-holdings-to-accelerate-ai-powered-automation-for-smes/
2025-12-23,BBC,Global,Other,Chips & Infrastructure,The showers and baths keeping data centre tech cool,"Liquid cooling firm Iceotope uses oil-based fluid immersion and water circulation systems to cool data center chips, reducing cooling energy consumption by up to 80% compared to traditional air cooling. The approach addresses growing demand for data center infrastructure driven by AI while tackling environmental concerns around energy and water usage.",https://www.bbc.com/news/articles/cp8zd176516o?at_medium=RSS&at_campaign=rss
2025-12-23,Wamda,Middle East,Funding,B2B Applications,"Lucid Capital closes $2.5 million Seed round, led by Tharawat Holding",UAE-based fintech Lucid Capital closed a $2.5 million seed round led by Tharawat Holding and secured $200 million in capital commitments for AI-driven algorithmic trading. The company uses autonomous AI agents and quantitative strategies to optimize trade execution across US equities and digital asset markets.,http://wamda.com/2025/12/lucid-capital-closes-2-5-million-seed-round-led-tharawat-holding
2025-12-22,AI Business,Unknown,Product Launch,B2B Applications,x402 Aims to Enable Agentic Payments With Digital Dollars,"The x402 protocol enables digital AI agents to autonomously pay for data and products using stablecoins, extending agentic AI capabilities beyond traditional payment constraints.",https://aibusiness.com/agentic-ai/x402-agentic-payments-digital-dollars
2025-12-22,AI Business,Europe,Funding,B2B Applications,AI Coding Startup Lovable Now Valued at $6.6B,"Swedish AI startup Lovable raised $330 million in Series B funding, reaching a $6.6 billion valuation for its platform that generates full applications from natural language text prompts.",https://aibusiness.com/generative-ai/ai-coding-startup-lovable-series-b
2025-12-22,Wamda,Middle East,Funding,B2B Applications,Q Fund backs AI startup QPioneers in first funding round,"Saudi AI startup QPioneers raised its first funding round from Q Fund (Qewam Holding's investment arm) for an undisclosed amount to develop its Startup OS—an AI-powered workspace combining collaboration tools, operations, and analytics with an intelligent 'QP Agent' assistant. The platform automates workflows and delivers strategic insights for growth-stage startups.",http://wamda.com/2025/12/q-fund-backs-ai-startup-qpioneers-funding-round
2025-12-20,IT News Africa,Oceania,Product Launch,Consumer Applications,Australian AI Event Video Platform Debuts Real-Time Editing at SXSW Sydney,"Australian AI startup Edit on the Spot launched a real-time video editing platform that transforms live event footage into branded, captioned clips within seconds while events are still happening. The platform processed 125 live sessions at SXSW Sydney, using AI for speaker detection, brand-safe templating, and live captioning to replace multi-day post-production workflows.",https://www.itnewsafrica.com/2025/12/australian-ai-event-video-platform-debuts-real-time-editing-at-sxsw-sydney/
2025-12-19,Techfundingnews,North America,Funding,B2B Applications,FutureHouse spinout Edison lands $70M to build autonomous AI scientists for biology and chemistry,"Edison Scientific, a San Francisco-based spinout from FutureHouse, raised $70 million at a $250 million valuation to develop Kosmos, an autonomous AI scientist platform that accelerates research in biology and chemistry by automating literature review, data analysis, and experimental design. The round was co-led by Spark Capital and Triatomic Capital with participation from Google's Chief Scientist Jeff Dean.",https://techfundingnews.com/edison-raises-70m-ai-scientist-platform/
2025-12-18,Tech,Europe,Funding,B2B Applications,Neural Concept raises $100M to scale AI-native engineering,"Swiss AI engineering platform Neural Concept raised $100 million in Series C funding led by Goldman Sachs Alternatives to scale its CAD-native technology that embeds AI into design and simulation workflows for automotive, aerospace, and semiconductor sectors. The funding will support product development including generative CAD capabilities and expansion of global partnerships.",https://tech.eu/2025/12/18/neural-concept-raises-100m-to-scale-ai-native-engineering/
2025-12-18,Tech,North America,Funding,B2B Applications,Lovable raises $330M at a $6.6B valuation to turn non-developers into software builders,"Lovable, an AI platform enabling non-technical users to build web and software applications through natural language prompts, raised $330 million at a $6.6 billion valuation led by CapitalG and Menlo Ventures. The platform has generated 25 million+ projects with 200+ million monthly visits from enterprises including Klarna and Deutsche Telekom.",https://tech.eu/2025/12/18/lovable-raises-330m-at-a-66b-valuation-to-turn-non-developers-into-software-builders/
2025-12-18,AI Business,North America,Acquisition,B2B Applications,Salesforce Buys Qualified in Agentic Marketing Push,"Salesforce acquired Qualified, a conversational AI platform, to expand its Agentforce suite and enhance autonomous agent capabilities for marketing and sales automation.",https://aibusiness.com/agentic-ai/salesforce-buys-qualified-in-agentic-marketing-push
2025-12-18,AI Business,North America,Product Launch,Foundation Models,Anthropic Launches Skills Open Standard for Claude,"Anthropic launched an open Skills standard for Claude, enabling AI agents to independently perform specialized tasks with greater autonomy and flexibility.",https://aibusiness.com/foundation-models/anthropic-launches-skills-open-standard-claude
2025-12-18,AI Business,North America,Product Launch,Foundation Models,Google Releases Gemini 3 Flash Aimed at Enterprises,"Google released Gemini 3 Flash, a new enterprise-focused AI model designed to address diverse business needs while simplifying model selection for organizations.",https://aibusiness.com/foundation-models/google-releases-gemini-3-flash-model-enterprise
2025-12-17,Tech,Europe,Funding,Fine-tuning & MLOps,Wodan AI closes a €2M round to advance sovereign AI development in Europe,"European startup Wodan AI closed a €2 million pre-seed round led by Spanish and Belgian funds to scale its homomorphic encryption technology enabling AI models to run on encrypted data without decryption. The company is relocating its headquarters to Madrid to advance sovereign AI capabilities for finance, defence, and healthcare sectors.",https://tech.eu/2025/12/17/wodan-ai-closes-a-eur2m-round-to-advance-sovereign-ai-development-in-europe/
2025-12-17,Tech,Europe,Funding,Consumer Applications,NobodyWho raises €2M to challenge Big Tech’s cloud AI with SLMs for local devices,"Copenhagen-based NobodyWho raised €2 million in pre-seed funding to deploy Small Language Models directly on users' devices, eliminating cloud dependency and reducing AI's carbon footprint by up to 500x compared to cloud-based LLMs. The open-source startup enables organizations to run AI locally on laptops and phones while maintaining full data control and privacy.",https://tech.eu/2025/12/17/nobodywho-raises-eur2m-to-challenge-big-techs-cloud-ai-with-slms-for-local-devices/
2025-12-17,AI Business,North America,Product Launch,Foundation Models,OpenAI Updates ChatGPT Images Tool,"OpenAI released GPT Image 1.5, an updated image generation tool for ChatGPT that enhances precision, speed, and creative output capabilities.",https://aibusiness.com/generative-ai/openai-updates-chatgpt-images-tool
2025-12-17,AI Business,North America,Acquisition,Chips & Infrastructure,Nvidia Aims to Bolster HPC With Acquisition,Nvidia acquired SchedMD to strengthen its high-performance computing and open source AI portfolio for enterprise workloads.,https://aibusiness.com/data-management/nvidia-focuses-on-hpc-schedmd
2025-12-17,Wamda,Middle East,Funding,B2B Applications,Relik raises seed round with backing from KBW Ventures,"UAE-based Relik closed a seed funding round with KBW Ventures and other investors to expand its AI-powered authentication platform that verifies collectibles, art, and cultural assets using a unique 'digital DNA' system. The technology enables verification in seconds without requiring external hardware like NFC chips or QR codes.",http://wamda.com/2025/12/relik-raises-seed-round-backing-kbw-ventures
